;;;I;II;III;IV;V;VI;VII;VIII
22 мар 12;Чт;Н;;Лекция, Кузнецова Ю.Ю., ст.преп.,    503а;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
23 мар 12;Пт;Н;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;;;;;
24 мар 12;Сб;Н; Занятия в подгруппах;;;;;;;
25 мар 12;Вс;Н;;;;;;;;
26 мар 12;Пн;В;Лекция, Наумова Т.В., доц.,    19р;Пр.Зан., Наумова Т.В., доц.,    302а;;;;;;
27 мар 12;Вт;В; Занятия в подгруппах;;;;;;;
28 мар 12;Ср;В;;Пр.Зан., Рогожникова Н.Л., преп.,    5-203;Лекция, Рогожникова Н.Л., преп.,    4-308;;;;;
29 мар 12;Чт;В;;;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
30 мар 12;Пт;В;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;Пр.Зан., Петрова Л.В., ст.преп.,    5-303;;;;
31 мар 12;Сб;В; Занятия в подгруппах;;;;;;;
01 апр 12;Вс;В;;;;;;;;
02 апр 12;Пн;Н;;;;;;;;
03 апр 12;Вт;Н;Лекция, Коновалов В.М., доц.,    203в;Пр.Зан., Коновалов В.М., доц.,    203д;;;;;;
04 апр 12;Ср;Н;Лекция, Коновалов В.М., доц.,    5-203;;Лекция, Рогожникова Н.Л., преп.,    2-102;;;;;
05 апр 12;Чт;Н;;Лекция, Кузнецова Ю.Ю., ст.преп.,    503а;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
06 апр 12;Пт;Н;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;;;;;
07 апр 12;Сб;Н;;;;;;;;
08 апр 12;Вс;Н;;;;;;;;
09 апр 12;Пн;В;Лекция, Наумова Т.В., доц.,    19р;Пр.Зан., Наумова Т.В., доц.,    302а;;;;;;
10 апр 12;Вт;В; Занятия в подгруппах;;;;;;;
11 апр 12;Ср;В;;Пр.Зан., Рогожникова Н.Л., преп.,    5-203;Лекция, Рогожникова Н.Л., преп.,    4-308;;;;;
12 апр 12;Чт;В;;;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
13 апр 12;Пт;В;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;Пр.Зан., Петрова Л.В., ст.преп.,    5-303;;;;
14 апр 12;Сб;В;;;;;;;;
15 апр 12;Вс;В;;;;;;;;
16 апр 12;Пн;Н;;;;;;;;
17 апр 12;Вт;Н;Лекция, Коновалов В.М., доц.,    203в;Пр.Зан., Коновалов В.М., доц.,    203д;;;;;;
18 апр 12;Ср;Н;Лекция, Коновалов В.М., доц.,    5-203;;Лекция, Рогожникова Н.Л., преп.,    2-102;;;;;
19 апр 12;Чт;Н;;Лекция, Кузнецова Ю.Ю., ст.преп.,    503а;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
20 апр 12;Пт;Н;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;;;;;
21 апр 12;Сб;Н; Занятия в подгруппах;;;;;;;
22 апр 12;Вс;Н;;;;;;;;
23 апр 12;Пн;В;Лекция, Наумова Т.В., доц.,    19р;Пр.Зан., Наумова Т.В., доц.,    302а;;;;;;
24 апр 12;Вт;В; Занятия в подгруппах;;;;;;;
25 апр 12;Ср;В;;Пр.Зан., Рогожникова Н.Л., преп.,    5-203;Лекция, Рогожникова Н.Л., преп.,    4-308;;;;;
26 апр 12;Чт;В;;;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
27 апр 12;Пт;В;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;Пр.Зан., Петрова Л.В., ст.преп.,    5-303;;;;
28 апр 12;Сб;В;;;;;;;;
29 апр 12;Вс;В;;;;;;;;
30 апр 12;Пн;Н;;; Занятия в подгруппах;;;;;
01 май 12;Вт;Н;;;;;;;;
02 май 12;Ср;Н;Лекция, Коновалов В.М., доц.,    5-203;;;;;;;
03 май 12;Чт;Н;;Лекция, Кузнецова Ю.Ю., ст.преп.,    503а;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
04 май 12;Пт;Н;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;;;;;
05 май 12;Сб;Н;;;;;;;;
06 май 12;Вс;Н;;;;;;;;
07 май 12;Пн;В; Занятия в подгруппах;;;;;;;
08 май 12;Вт;В; Занятия в подгруппах;;;;;;;
09 май 12;Ср;В;;;;;;;;
10 май 12;Чт;В;;;Пр.Зан., Кузнецова Е.В., ст.преп.,    203в;Лекция, Кузнецова Ю.Ю., ст.преп.,    9р;Лекция, Соловьева Т.Л., доц.,    202в;Пр.Зан., Соловьева Т.Л., доц.,    202в;;
11 май 12;Пт;В;Лаб.раб., *****, ***,    Спортзал 4;Лекция, Филонов П.В., доц.,    2-101;Лекция, Филонов П.В., доц.,    5-203;;;;;
12 май 12;Сб;В; Занятия в подгруппах;;;;;;;
13 май 12;Вс;В;;;;;;;;
